"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Botswana","BWA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","125","125","105","105","74","59","59","40","40","41","48","48","48","48","48","48","","","",
"Central African Republic","CAF","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","22","22","22","22","23","24","24","22","22","22","22","22","22","22","22","22","","","",
"Canada","CAN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.5","3.5","3.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","1.5","1.5","1.5","1.5","1.5","","","",
"Central Europe and the Baltics","CEB","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.8636363636364","46.1363636363636","36.5909090909091","33.9545454545455","28.2272727272727","24.5","19.4545454545455","18.9090909090909","19.0909090909091","18.9090909090909","17.9090909090909","16.8181818181818","16.0909090909091","15.7272727272727","15.7272727272727","18","15.9090909090909","","","",
"Switzerland","CHE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","18","18","18","18","18","18","18","18","18","18","10","10","10","10","10","10","","","",
"Channel Islands","CHI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","40","40","40","40","36.5","9.5","7.5","7.5","7.5","7.5","7.5","7.5","6","4","","","",
"China","CHN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.3","31.4","31.4","28.9","24.9","8.6","8.6","","","",
"Cote d'Ivoire","CIV","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","58","45","45","42","40","40","40","32","32","8","7","7","7","8","6","6","","","",
"Cameroon","CMR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","45","45","45","38","38.5","35.5","20.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","13.5","13.5","","","",
"Congo, Dem. Rep.","COD","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166.5","133.5","133.5","133.5","132.5","132.5","126.5","84.5","65.5","58.5","31.5","16.5","11.5","11.5","7","7","7","","","",
"Congo, Rep.","COG","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.5","37.5","37.5","38.5","38.5","158.5","158.5","158.5","158.5","158.5","98.5","50.5","50.5","50.5","49.5","49.5","49.5","","","",
"Colombia","COL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","41","41","42","41","35","19","11","11","12","12","12","12","11","11","11","10","","","",
"Comoros","COM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","30","30","22","22","22","22","20","16","16","16","16","16","16","16","","","",
"Cabo Verde","CPV","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","52","52","52","24","18","18","18","18","18","18","18","18","18","9","","","",
"Costa Rica","CRI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","90","87","90","74","73.5","73.5","73.5","57.5","23","23","23","22.5","22.5","23","23","","","",
"Caribbean small states","CSS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","36.5","90.0909090909091","84.6363636363636","79.5416666666667","79.625","78.125","76.625","71.4230769230769","71.3461538461538","33.5769230769231","23.2692307692308","22.7307692307692","21.0384615384615","20.8846153846154","20.8846153846154","19.6538461538462","","","",
"Cuba","CUB","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","6","6","6","6","","","",
"Czechia","CZE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","57","57","39","32","35","32","32","30.5","30.5","30.5","30.5","30.5","24.5","24.5","24.5","24.5","","","",
"Germany","DEU","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","45","22","22","18","17.5","17.5","14.5","14.5","14.5","14.5","14.5","10.5","8","8","8","8","","","",
"Djibouti","DJI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","44","44","37","37","37","37","37","17","14","14","14","14","14","14","","","",
"Dominica","DMA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","14","14","13","13","13","12","12","12","12","12","12","12","12","12","","","",
"Denmark","DNK","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","7.5","6.5","6.5","6.5","6.5","6.5","6","6","6","6","6","3.5","3.5","3.5","3.5","3.5","","","",
"Dominican Republic","DOM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","79","76","76","25","15","16","15","14.5","14.5","14.5","14.5","14.5","18.5","16.5","16.5","16.5","","","",
"Algeria","DZA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","24","22","22","22","22","22","22","22","22","22","20","18","18","18","18","18","","","",
"East Asia & Pacific (excluding high income)","EAP","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7941176470588","50.9722222222222","50.4166666666667","49.8055555555556","46.8055555555556","46.5833333333333","44.9722222222222","41.9722222222222","37.9166666666667","39.1842105263158","41.0333333333333","35.847619047619","35.8190476190476","33.0809523809524","32.2333333333333","30.3380952380952","29.652380952381","","","",
"Early-demographic dividend","EAR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.8590909090909","61.3733333333333","68.8452830188679","65.0905660377359","59.4203703703704","55.6055555555556","52.7518518518519","50.437037037037","49.2148148148148","49.2607142857143","38.1770491803279","35.1229508196721","35.5311475409836","35.0377049180328","34.0459016393443","32.1885245901639","30.8311475409836","","","",
"East Asia & Pacific","EAS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.8913043478261","42.3541666666667","42.5625","45.28","42.36","41.42","39.14","36.18","32.56","33.6538461538462","34.6172413793104","30.8448275862069","27.6862068965517","25.7034482758621","25.0206896551724","23.3724137931034","22.8586206896552","","","",
"Europe & Central Asia (excluding high income)","ECA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.4","44.0333333333333","45.15625","37.3823529411765","32.2647058823529","27.9705882352941","22.8611111111111","21.9166666666667","19.75","18.8055555555556","16.6421052631579","15.6842105263158","13.3315789473684","12.9","12.1631578947368","11.5578947368421","11.3473684210526","","","",
"Europe & Central Asia","ECS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8536585365854","38.9166666666667","33.953488372093","29.0888888888889","25.0777777777778","21.3152173913043","18.9468085106383","18.0744680851064","16.6170212765957","16.625","15.5040816326531","14.2040816326531","12.2612244897959","11.8795918367347","11.5938775510204","12.552","11.762","","","",
"Ecuador","ECU","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","92","69","65","65","65","64","56","55.5","55.5","55.5","55.5","50.5","48.5","48.5","48.5","48.5","","","",
"Egypt, Arab Rep.","EGY","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.5","42.5","26.5","23.5","17.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","16.5","16.5","16.5","11.5","12.5","","","",
"Euro area","EMU","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.78125","41.65625","30.28125","26.5","22.9705882352941","18.0833333333333","17.1944444444444","16","15.5526315789474","15.1578947368421","14.4210526315789","12.3947368421053","11.4210526315789","10.8947368421053","10.3684210526316","10.4473684210526","9.81578947368421","","","",
"Eritrea","ERI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","76","76","83","84","84","84","84","84","84","84","84","84","84","84","84","","","",
"Spain","ESP","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138","137","70","60","60","61","61","52","29","30","24","14","14","13","13","12.5","12.5","","","",
"Estonia","EST","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","72","35","35","6.5","6.5","6.5","6.5","6.5","6.5","6.5","4.5","3.5","3.5","3.5","3.5","3.5","","","",
"Ethiopia","ETH","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","35","35","19","19","19","20","20","40","40","39","39","35","35","33","32","32","","","",
"European Union","EUU","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4583333333333","40","30.5833333333333","26.84","23.06","20.0192307692308","17.8269230769231","16.9038461538462","16.6296296296296","16.3703703703704","15.7777777777778","14.3518518518519","13.2407407407407","12.7222222222222","12.3518518518519","13.2777777777778","12.1666666666667","","","",
"Fragile and conflict affected situations","FCS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.2272727272727","64.5","69.65","67.2166666666667","62.45","62.7333333333333","59.8387096774194","53.0645161290323","44.7741935483871","43.4705882352941","38.8371428571429","34.1228571428571","34.0222222222222","34.4694444444444","32.8444444444444","31.6777777777778","31.2138888888889","","","",
"Finland","FIN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","13","","","",
"Fiji","FJI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","31","44","44","44","44","44","44","44","58","58","58","58","40","40","40","40","","","",
"France","FRA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","7","7","7","7","6.5","6.5","6.5","6.5","6.5","6.5","4.5","4","3.5","3.5","3.5","4","","","",
"Faroe Islands","FRO","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","","","",
"Gabon","GAB","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","54","54","54","54","54","54","54","47","47","47","47","33","31","10","","","",
"United Kingdom","GBR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","6","4.5","4.5","4.5","4.5","4.5","","","",
"Georgia","GEO","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","25","21","16","11","3","3","3","2","2","2","2","2","2","2","2","1","","","",
"Ghana","GHA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","21","17","17","13","11","11","11","11","11","14","14","14","14","14","14","13","","","",
"Gibraltar","GIB","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","40","40","40","40","40","40","40","40","43","23","15","15","15","15","15","15","","","",
